*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
1.760E+03     ,1.1E+01,1.1E+01,6.0E+01     ,1.6E+01,1.6E+01,0  ,+,0   ,-,+, ,9040221,   0, ,S,eta(1760)        ,x(uU+dD)+y(sS)  
1.812E+03     ,1.4E+01,1.4E+01,2.07E+02    ,1.3E+01,1.3E+01,1  ,-,0   ,-, ,B,9010211,   +, ,R,pi(1800)         ,uD              
1.812E+03     ,1.4E+01,1.4E+01,2.07E+02    ,1.3E+01,1.3E+01,1  ,-,0   ,-,+,B,9010111,   0, ,R,pi(1800)         ,(uU-dD)/sqrt(2) 
1.815E+03     ,1.2E+01,1.2E+01,1.97E+02    ,2.2E+01,2.2E+01,0  ,+,2   ,+,+, ,9030225,   0, ,S,f(2)(1810)       ,x(uU+dD)+y(sS)  
1.834E+03     ,7.0E+00,7.0E+00,6.8E+01     ,2.2E+01,2.2E+01,?  ,?,?   ,-,+, ,       ,   0, ,S,X(1835)          ,x(uU+dD)+y(sS)  
1.854E+03     ,7.0E+00,7.0E+00,8.7E+01     ,2.8E+01,2.3E+01,0  ,-,3   ,-,-, ,    337,   0, ,R,phi(3)(1850)     ,x(uU+dD)+y(sS)  
1.842E+03     ,8.0E+00,8.0E+00,2.25E+02    ,1.4E+01,1.4E+01,0  ,+,2   ,-,+, ,  10335,   0, ,S,eta(2)(1870)     ,x(uU+dD)+y(sS)  
1.860E+03     ,2.0E+01,2.0E+01,1.60E+02    ,2.0E+01,2.0E+01,1  ,+,1   ,-, ,B,9020213,   +, ,S,rho(1900)        ,uD              
1.860E+03     ,2.0E+01,2.0E+01,1.60E+02    ,2.0E+01,2.0E+01,1  ,+,1   ,-,-,B,9020113,   0, ,S,rho(1900)        ,(uU-dD)/sqrt(2) 
1.915E+03     ,7.0E+00,7.0E+00,1.6E+02     ,5.0E+01,5.0E+01,0  ,+,2   ,+,+, ,9040225,   0, ,S,f(2)(1910)       ,x(uU+dD)+y(sS)  
1.944E+03     ,1.2E+01,1.2E+01,4.72E+02    ,1.8E+01,1.8E+01,0  ,+,2   ,+,+, ,9050225,   0, ,R,f(2)(1950)       ,x(uU+dD)+y(sS)  
1.982E+03     ,1.4E+01,1.4E+01,1.88E+02    ,2.4E+01,2.4E+01,1  ,+,3   ,-, ,B,9000217,   +, ,S,rho(3)(1990)     ,uD              
1.982E+03     ,1.4E+01,1.4E+01,1.88E+02    ,2.4E+01,2.4E+01,1  ,+,3   ,-,-,B,9000117,   0, ,S,rho(3)(1990)     ,(uU-dD)/sqrt(2) 
2.01E+03      ,6.0E+01,8.0E+01,2.0E+02     ,6.0E+01,6.0E+01,0  ,+,2   ,+,+, ,9060225,   0, ,R,f(2)(2010)       ,x(uU+dD)+y(sS)  
1.992E+03     ,1.6E+01,1.6E+01,4.4E+02     ,6.0E+01,6.0E+01,0  ,+,0   ,+,+, ,9050221,   0, ,S,f(0)(2020)       ,x(uU+dD)+y(sS)  
2.0010E+03    ,1.0E+01,1.0E+01,3.13E+02    ,3.1E+01,3.1E+01,1  ,-,4   ,+, ,B,    219,   +, ,R,a(4)(2040)       ,uD              
2.0010E+03    ,1.0E+01,1.0E+01,3.13E+02    ,3.1E+01,3.1E+01,1  ,-,4   ,+,+,B,    119,   0, ,R,a(4)(2040)       ,(uU-dD)/sqrt(2) 
2.0250E+03    ,1.0E+01,1.0E+01,2.25E+02    ,1.8E+01,1.8E+01,0  ,+,4   ,+,+, ,    229,   0, ,R,f(4)(2050)       ,x(uU+dD)+y(sS)  
2.090E+03     ,2.9E+01,2.9E+01,6.2E+02     ,5.0E+01,5.0E+01,1  ,-,2   ,-, ,B,9000215,   +, ,S,pi(2)(2100)      ,uD              
2.090E+03     ,2.9E+01,2.9E+01,6.2E+02     ,5.0E+01,5.0E+01,1  ,-,2   ,-,+,B,9000115,   0, ,S,pi(2)(2100)      ,(uU-dD)/sqrt(2) 
2.103E+03     ,7.0E+00,7.0E+00,2.06E+02    ,1.5E+01,1.5E+01,0  ,+,0   ,+,+, ,9060221,   0, ,S,f(0)(2100)       ,x(uU+dD)+y(sS)  
2.156E+03     ,1.1E+01,1.1E+01,1.67E+02    ,3.0E+01,3.0E+01,0  ,+,2   ,+,+, ,9070225,   0, ,S,f(2)(2150)       ,x(uU+dD)+y(sS)  
2.149E+03     ,1.7E+01,1.7E+01,3.6E+02     ,5.0E+01,5.0E+01,1  ,+,1   ,-, ,B,9030213,   +, ,S,rho(2150)        ,uD              
2.149E+03     ,1.7E+01,1.7E+01,3.6E+02     ,5.0E+01,5.0E+01,1  ,+,1   ,-,-,B,9030113,   0, ,S,rho(2150)        ,(uU-dD)/sqrt(2) 
2.189E+03     ,1.3E+01,1.3E+01,2.4E+02     ,5.0E+01,5.0E+01,0  ,+,0   ,+,+, ,9070221,   0, ,S,f(0)(2200)       ,x(uU+dD)+y(sS)  
2.2311E+03    ,3.5E+00,3.5E+00,2.3E+01     ,8.0E+00,7.0E+00,0  ,+,2or4,+,+, ,9000229,   0, ,S,f(J)(2220)       ,x(uU+dD)+y(sS)  
2.220E+03     ,1.8E+01,1.8E+01,1.5E+02     ,3.1E+02,8.0E+01,0  ,+,0   ,-,+, ,9080221,   0, ,S,eta(2225)        ,x(uU+dD)+y(sS)  
2.260E+03     ,2.0E+01,2.0E+01,1.60E+02    ,2.5E+01,2.5E+01,1  ,+,3   ,-, ,B,9010217,   +, ,S,rho(3)(2250)     ,uD              
2.260E+03     ,2.0E+01,2.0E+01,1.60E+02    ,2.5E+01,2.5E+01,1  ,+,3   ,-,-,B,9010117,   0, ,S,rho(3)(2250)     ,(uU-dD)/sqrt(2) 
2.297E+03     ,2.8E+01,2.8E+01,1.5E+02     ,4.0E+01,4.0E+01,0  ,+,2   ,+,+, ,9080225,   0, ,R,f(2)(2300)       ,x(uU+dD)+y(sS)  
2.332E+03     ,1.5E+01,1.5E+01,2.6E+02     ,6.0E+01,6.0E+01,0  ,+,4   ,+,+, ,9010229,   0, ,S,f(4)(2300)       ,x(uU+dD)+y(sS)  
2.34E+03      ,6.0E+01,6.0E+01,3.2E+02     ,8.0E+01,7.0E+01,0  ,+,2   ,+,+, ,9090225,   0, ,R,f(2)(2340)       ,x(uU+dD)+y(sS)  
2.330E+03     ,3.5E+01,3.5E+01,4.00E+02    ,1.0E+02,1.0E+02,1  ,+,5   ,-, ,B,       ,   +, ,S,rho(5)(2350)     ,uD              
2.330E+03     ,3.5E+01,3.5E+01,4.00E+02    ,1.0E+02,1.0E+02,1  ,+,5   ,-,-,B,       ,   0, ,S,rho(5)(2350)     ,(uU+dD)/sqrt(2) 
2.45E+03      ,1.3E+02,1.3E+02,4.0E+02     ,2.5E+02,2.5E+02,1  ,-,6   ,+, ,B,       ,   +, ,S,a(6)(2450)       ,uD              
2.45E+03      ,1.3E+02,1.3E+02,4.0E+02     ,2.5E+02,2.5E+02,1  ,-,6   ,+,+,B,       ,   0, ,S,a(6)(2450)       ,(uU+dD)/sqrt(2) 
2.46E+03      ,5.0E+01,5.0E+01,2.6E+02     ,4.0E+01,4.0E+01,0  ,+,6   ,+,+, ,       ,   0, ,S,f(6)(2510)       ,x(uU+dD)+y(sS)  
1.0724E+03    ,8.0E-01,8.0E-01,3.50E+00    ,1.5E+00,1.0E+00,?  ,?,0   ,+,+, ,       ,   0, ,F,X(1070)          ,??
1.107E+03     ,4.0E+00,4.0E+00,1.11E+02    ,8.0E+00,8.0E+00,0  ,+,even,+,+, ,       ,   0, ,F,X(1110)          ,??
1.480E+03     ,1.0E+02,1.5E+02,1.03E+03    ,8.0E+01,1.7E+02,0  ,+,0   ,+,+, ,       ,   0, ,F,f(0)(1200-1600)  ,x(uU+dD)+y(sS)
1.420E+03     ,2.0E+01,2.0E+01,1.600E+02   ,1.0E+01,1.0E+01,2  ,+,0   ,+,+, ,       ,   0, ,F,X(1420)          ,??
1.600E+03     ,1.0E+02,1.0E+02,4.0E+02     ,2.0E+02,2.0E+02,2  ,+,2   ,+,+, ,       ,   0, ,F,X(1600)          ,??
1.652E+03     ,7.0E+00,7.0E+00,50          ,-1     ,-1     ,0  ,-,?   ,?,-, ,       ,   0, ,F,X(1650)          ,??
1.7535E+03    ,1.5E+00,1.5E+00,1.22E+02    ,6.0E+00,6.0E+00,?  ,?,1   ,-,-, ,       ,   0, ,F,X(1750)          ,??
1.763E+03     ,2.0E+01,2.0E+01,1.9E+02     ,6.0E+01,6.0E+01,1  ,-,?   ,-,+, ,       ,   0, ,F,X(1775)          ,??
1.857E+03     ,5.0E+00,5.0E+00,2.0E+01     ,5.0E+00,5.0E+00,?  ,?,?   ,?,?, ,       ,   0, ,F,X(1855)          ,??
